year,cipcode,major_number,total,instnm,cip_code,humanities_discipline,classification,total_students,total_degrees
2005,27.0101,2,5,Yale University,"Mathematics, General",NA,Natural Sciences,1291,1470
2005,27.0301,1,3,Yale University,"Applied Mathematics, General",NA,Natural Sciences,1291,1470
2005,30.0801,1,2,Yale University,Mathematics and Computer Science,NA,Engineering,1291,1470
2005,30.1301,1,2,Yale University,Medieval and Renaissance Studies,Selected Interdisciplinary Studies,Humanities,1291,1470
2005,30.2001,1,0,Yale University,International/Globalization Studies,NA,Social & Behavioral Sciences,1291,1470
2005,30.2001,2,38,Yale University,International/Globalization Studies,NA,Social & Behavioral Sciences,1291,1470
2005,30.2501,1,8,Yale University,"Cognitive Science, General",NA,Natural Sciences,1291,1470
2005,30.9999,1,98,Yale University,"Multi-/Interdisciplinary Studies, Other",NA,Other/Unknown,1291,1470
2005,30.9999,2,4,Yale University,"Multi-/Interdisciplinary Studies, Other",NA,Other/Unknown,1291,1470
2005,38.0101,1,16,Yale University,Philosophy,Philosophy,Humanities,1291,1470
2005,38.0101,2,2,Yale University,Philosophy,Philosophy,Humanities,1291,1470
2005,38.0201,1,11,Yale University,Religion/Religious Studies,Religion,Humanities,1291,1470
2005,38.0201,2,2,Yale University,Religion/Religious Studies,Religion,Humanities,1291,1470
2005,38.0206,1,0,Yale University,Jewish/Judaic Studies,Religion,Humanities,1291,1470
2005,40.0201,1,1,Yale University,Astronomy,NA,Natural Sciences,1291,1470
2005,40.0299,1,1,Yale University,"Astronomy and Astrophysics, Other",NA,Natural Sciences,1291,1470
2005,40.0501,1,9,Yale University,"Chemistry, General",NA,Natural Sciences,1291,1470
2005,40.0601,1,4,Yale University,"Geology/Earth Science, General",NA,Natural Sciences,1291,1470
2005,40.0601,2,1,Yale University,"Geology/Earth Science, General",NA,Natural Sciences,1291,1470
2005,40.0801,1,9,Yale University,"Physics, General",NA,Natural Sciences,1291,1470
2005,40.0801,2,1,Yale University,"Physics, General",NA,Natural Sciences,1291,1470
2005,42.0101,1,80,Yale University,"Psychology, General",NA,Social & Behavioral Sciences,1291,1470
2005,42.0101,2,4,Yale University,"Psychology, General",NA,Social & Behavioral Sciences,1291,1470
2005,45.0201,1,20,Yale University,"Anthropology, General",NA,Social & Behavioral Sciences,1291,1470
2005,45.0301,1,6,Yale University,Archeology,Archaeology,Humanities,1291,1470
2005,45.0601,1,118,Yale University,"Economics, General",NA,Social & Behavioral Sciences,1291,1470
2005,45.0601,2,18,Yale University,"Economics, General",NA,Social & Behavioral Sciences,1291,1470
2005,45.1001,1,154,Yale University,"Political Science and Government, General",NA,Social & Behavioral Sciences,1291,1470
2005,45.1001,2,17,Yale University,"Political Science and Government, General",NA,Social & Behavioral Sciences,1291,1470
2005,45.1101,1,23,Yale University,"Sociology, General",NA,Social & Behavioral Sciences,1291,1470
2005,50.0501,1,24,Yale University,"Drama and Dramatics/Theatre Arts, General",NA,Fine & Performing Arts,1291,1470
2005,50.0501,2,5,Yale University,"Drama and Dramatics/Theatre Arts, General",NA,Fine & Performing Arts,1291,1470
2005,50.0601,1,11,Yale University,Film/Cinema/Media Studies,Study of the Arts,Humanities,1291,1470
2005,50.0601,2,5,Yale University,Film/Cinema/Media Studies,Study of the Arts,Humanities,1291,1470
2005,50.0701,1,22,Yale University,"Art/Art Studies, General",NA,Fine & Performing Arts,1291,1470
2005,50.0701,2,4,Yale University,"Art/Art Studies, General",NA,Fine & Performing Arts,1291,1470
2005,50.0703,1,20,Yale University,"Art History, Criticism and Conservation",Study of the Arts,Humanities,1291,1470
2005,50.0703,2,1,Yale University,"Art History, Criticism and Conservation",Study of the Arts,Humanities,1291,1470
2005,50.0901,1,18,Yale University,"Music, General",NA,Fine & Performing Arts,1291,1470
2005,50.0901,2,6,Yale University,"Music, General",NA,Fine & Performing Arts,1291,1470
2005,54.0101,1,193,Yale University,"History, General",History,Humanities,1291,1470
2005,54.0101,2,6,Yale University,"History, General",History,Humanities,1291,1470
2005,03.0103,1,9,University of Chicago,Environmental Studies,NA,Other/Unknown,1072,1285
2005,03.0103,2,5,University of Chicago,Environmental Studies,NA,Other/Unknown,1072,1285
2005,05.0101,1,1,University of Chicago,African Studies,Area Studies,Humanities,1072,1285
2005,05.0101,2,0,University of Chicago,African Studies,Area Studies,Humanities,1072,1285
2005,05.0107,1,5,University of Chicago,Latin American Studies,Area Studies,Humanities,1072,1285
2005,05.0107,2,6,University of Chicago,Latin American Studies,Area Studies,Humanities,1072,1285
2005,05.0110,1,1,University of Chicago,Russian Studies,Area Studies,Humanities,1072,1285
2005,05.0110,2,0,University of Chicago,Russian Studies,Area Studies,Humanities,1072,1285
2005,05.0112,1,0,University of Chicago,South Asian Studies,Area Studies,Humanities,1072,1285
2005,05.0112,2,0,University of Chicago,South Asian Studies,Area Studies,Humanities,1072,1285
2005,05.0299,1,2,University of Chicago,"Ethnic, Cultural Minority, Gender, and Group Studies, Other","Cultural, Ethnic, and Gender Studies",Humanities,1072,1285
2005,05.0299,2,1,University of Chicago,"Ethnic, Cultural Minority, Gender, and Group Studies, Other","Cultural, Ethnic, and Gender Studies",Humanities,1072,1285
2005,11.0701,1,10,University of Chicago,Computer Science,NA,Engineering,1072,1285
2005,11.0701,2,1,University of Chicago,Computer Science,NA,Engineering,1072,1285
2005,16.0102,1,11,University of Chicago,Linguistics,Linguistics,Humanities,1072,1285
2005,16.0102,2,2,University of Chicago,Linguistics,Linguistics,Humanities,1072,1285
2005,16.0104,1,6,University of Chicago,Comparative Literature,Comparative Literature,Humanities,1072,1285
2005,16.0104,2,0,University of Chicago,Comparative Literature,Comparative Literature,Humanities,1072,1285
2005,16.0399,1,7,University of Chicago,"East Asian Languages, Literatures, and Linguistics, Other",Languages and Literatures Other than English,Humanities,1072,1285
2005,16.0399,2,5,University of Chicago,"East Asian Languages, Literatures, and Linguistics, Other",Languages and Literatures Other than English,Humanities,1072,1285
2005,16.0400,1,1,University of Chicago,"Slavic Languages, Literatures, and Linguistics, General",Languages and Literatures Other than English,Humanities,1072,1285
2005,16.0400,2,2,University of Chicago,"Slavic Languages, Literatures, and Linguistics, General",Languages and Literatures Other than English,Humanities,1072,1285
2005,16.0501,1,0,University of Chicago,German Language and Literature,Languages and Literatures Other than English,Humanities,1072,1285
2005,16.0501,2,1,University of Chicago,German Language and Literature,Languages and Literatures Other than English,Humanities,1072,1285
2005,16.0700,1,3,University of Chicago,"South Asian Languages, Literatures, and Linguistics, General",Languages and Literatures Other than English,Humanities,1072,1285
2005,16.0700,2,4,University of Chicago,"South Asian Languages, Literatures, and Linguistics, General",Languages and Literatures Other than English,Humanities,1072,1285
2005,16.0999,1,8,University of Chicago,"Romance Languages, Literatures, and Linguistics, Other",Languages and Literatures Other than English,Humanities,1072,1285
2005,16.0999,2,1,University of Chicago,"Romance Languages, Literatures, and Linguistics, Other",Languages and Literatures Other than English,Humanities,1072,1285
2005,16.1103,1,0,University of Chicago,"Ancient Near Eastern and Biblical Languages, Literatures, and Linguistics",Languages and Literatures Other than English,Humanities,1072,1285
2005,16.1103,2,0,University of Chicago,"Ancient Near Eastern and Biblical Languages, Literatures, and Linguistics",Languages and Literatures Other than English,Humanities,1072,1285
2005,16.1199,1,7,University of Chicago,"Middle/Near Eastern and Semitic Languages, Literatures, and Linguistics, Other",Languages and Literatures Other than English,Humanities,1072,1285
2005,16.1199,2,1,University of Chicago,"Middle/Near Eastern and Semitic Languages, Literatures, and Linguistics, Other",Languages and Literatures Other than English,Humanities,1072,1285
2005,16.1200,1,7,University of Chicago,"Classics and Classical Languages, Literatures, and Linguistics, General",Classical Studies,Humanities,1072,1285
2005,16.1200,2,1,University of Chicago,"Classics and Classical Languages, Literatures, and Linguistics, General",Classical Studies,Humanities,1072,1285
2005,16.1299,1,2,University of Chicago,"Classics and Classical Languages, Literatures, and Linguistics, Other",Classical Studies,Humanities,1072,1285
2005,16.1299,2,0,University of Chicago,"Classics and Classical Languages, Literatures, and Linguistics, Other",Classical Studies,Humanities,1072,1285
2005,23.0101,1,71,University of Chicago,"English Language and Literature, General",English Language and Literature,Humanities,1072,1285
2005,23.0101,2,6,University of Chicago,"English Language and Literature, General",English Language and Literature,Humanities,1072,1285
2005,24.0101,1,4,University of Chicago,Liberal Arts and Sciences/Liberal Studies,General Humanities/Liberal Studies,Humanities,1072,1285
2005,24.0101,2,2,University of Chicago,Liberal Arts and Sciences/Liberal Studies,General Humanities/Liberal Studies,Humanities,1072,1285
2005,24.0103,1,24,University of Chicago,Humanities/Humanistic Studies,General Humanities/Liberal Studies,Humanities,1072,1285
2005,24.0103,2,0,University of Chicago,Humanities/Humanistic Studies,General Humanities/Liberal Studies,Humanities,1072,1285
2005,26.0101,1,117,University of Chicago,"Biology/Biological Sciences, General",NA,Natural Sciences,1072,1285
2005,26.0101,2,20,University of Chicago,"Biology/Biological Sciences, General",NA,Natural Sciences,1072,1285
2005,27.0101,1,52,University of Chicago,"Mathematics, General",NA,Natural Sciences,1072,1285
2005,27.0101,2,24,University of Chicago,"Mathematics, General",NA,Natural Sciences,1072,1285
2005,27.0501,1,5,University of Chicago,"Statistics, General",NA,Natural Sciences,1072,1285
2005,27.0501,2,9,University of Chicago,"Statistics, General",NA,Natural Sciences,1072,1285
2005,30.1301,1,2,University of Chicago,Medieval and Renaissance Studies,Selected Interdisciplinary Studies,Humanities,1072,1285
2005,30.1301,2,3,University of Chicago,Medieval and Renaissance Studies,Selected Interdisciplinary Studies,Humanities,1072,1285
2005,38.0101,1,25,University of Chicago,Philosophy,Philosophy,Humanities,1072,1285
2005,38.0101,2,6,University of Chicago,Philosophy,Philosophy,Humanities,1072,1285
2005,38.0206,1,0,University of Chicago,Jewish/Judaic Studies,Religion,Humanities,1072,1285
2005,38.0206,2,0,University of Chicago,Jewish/Judaic Studies,Religion,Humanities,1072,1285
2005,39.0601,1,7,University of Chicago,Theology/Theological Studies,NA,Other/Unknown,1072,1285
2005,39.0601,2,2,University of Chicago,Theology/Theological Studies,NA,Other/Unknown,1072,1285
2005,40.0501,1,15,University of Chicago,"Chemistry, General",NA,Natural Sciences,1072,1285
2005,40.0501,2,12,University of Chicago,"Chemistry, General",NA,Natural Sciences,1072,1285
2005,40.0599,1,10,University of Chicago,"Chemistry, Other",NA,Natural Sciences,1072,1285
2005,40.0599,2,1,University of Chicago,"Chemistry, Other",NA,Natural Sciences,1072,1285
2005,40.0603,1,5,University of Chicago,Geophysics and Seismology,NA,Natural Sciences,1072,1285
2005,40.0603,2,0,University of Chicago,Geophysics and Seismology,NA,Natural Sciences,1072,1285
2005,40.0801,1,24,University of Chicago,"Physics, General",NA,Natural Sciences,1072,1285
2005,40.0801,2,5,University of Chicago,"Physics, General",NA,Natural Sciences,1072,1285
2005,42.0101,1,44,University of Chicago,"Psychology, General",NA,Social & Behavioral Sciences,1072,1285
2005,42.0101,2,6,University of Chicago,"Psychology, General",NA,Social & Behavioral Sciences,1072,1285
2005,42.0601,1,31,University of Chicago,NA,NA,NA,1072,1285
2005,42.0601,2,2,University of Chicago,NA,NA,NA,1072,1285
2005,44.0501,1,20,University of Chicago,"Public Policy Analysis, General",NA,Social & Behavioral Sciences,1072,1285
2005,44.0501,2,9,University of Chicago,"Public Policy Analysis, General",NA,Social & Behavioral Sciences,1072,1285
2005,45.0201,1,32,University of Chicago,"Anthropology, General",NA,Social & Behavioral Sciences,1072,1285
2005,45.0201,2,2,University of Chicago,"Anthropology, General",NA,Social & Behavioral Sciences,1072,1285
2005,45.0601,1,216,University of Chicago,"Economics, General",NA,Social & Behavioral Sciences,1072,1285
2005,45.0601,2,25,University of Chicago,"Economics, General",NA,Social & Behavioral Sciences,1072,1285
