date,shelter,count,area
7/14/2023,High Ridge YMCA,145,north
7/14/2023,Inn of Chicago,1426,loop
7/14/2023,Lakeshore Hotel,,south
7/14/2023,Leone Beach,86,north
7/14/2023,Little Village - Pulaski CVS,,west
7/14/2023,MWRD,,north
7/14/2023,Near South Health Center,,south
7/14/2023,New Life Church,40,north
7/14/2023,North Park Village,181,north
7/14/2023,North Western,,west
7/14/2023,Ogden,,west
7/14/2023,Parthenon,,west
7/14/2023,Piotrowski Park,192,west
7/14/2023,Shield of Hope,,west
7/14/2023,Social Club,1182,loop
7/14/2023,Super 8 Motel,,north
7/14/2023,Wadsworth,570,south
7/14/2023,Walnut,,west
7/14/2023,West Lake,,west
7/14/2023,Wright,388,north
7/14/2023,YWLA,248,south
7/21/2023,American Islamic College,,north
7/21/2023,Brands Park,150,north
7/21/2023,Broadway Armory,,north
7/21/2023,Casa Esperanza,,west
7/21/2023,Daley College,415,south
7/21/2023,Elston,,west
7/21/2023,Gage Park,277,south
7/21/2023,Halsted,,south
7/21/2023,Harold Washington Library,,loop
7/21/2023,High Ridge YMCA,149,north
7/21/2023,Inn of Chicago,1468,loop
7/21/2023,Lakeshore Hotel,,south
7/21/2023,Leone Beach,101,north
7/21/2023,Little Village - Pulaski CVS,,west
7/21/2023,MWRD,,north
7/21/2023,Near South Health Center,48,south
7/21/2023,New Life Church,40,north
7/21/2023,North Park Village,176,north
7/21/2023,North Western,,west
7/21/2023,Ogden,,west
7/21/2023,Parthenon,,west
7/21/2023,Piotrowski Park,196,west
7/21/2023,Shield of Hope,,west
7/21/2023,Social Club,1169,loop
7/21/2023,Super 8 Motel,,north
7/21/2023,Wadsworth,584,south
7/21/2023,Walnut,,west
7/21/2023,West Lake,,west
7/21/2023,Wright,387,north
7/21/2023,YWLA,247,south
7/28/2023,American Islamic College,,north
7/28/2023,Brands Park,150,north
7/28/2023,Broadway Armory,,north
7/28/2023,Casa Esperanza,,west
7/28/2023,Daley College,410,south
7/28/2023,Elston,,west
7/28/2023,Gage Park,295,south
7/28/2023,Halsted,,south
7/28/2023,Harold Washington Library,,loop
7/28/2023,High Ridge YMCA,149,north
7/28/2023,Inn of Chicago,1507,loop
7/28/2023,Lakeshore Hotel,,south
7/28/2023,Leone Beach,101,north
7/28/2023,Little Village - Pulaski CVS,,west
7/28/2023,MWRD,,north
7/28/2023,Near South Health Center,131,south
7/28/2023,New Life Church,,north
7/28/2023,North Park Village,179,north
7/28/2023,North Western,,west
7/28/2023,Ogden,,west
7/28/2023,Parthenon,,west
7/28/2023,Piotrowski Park,198,west
7/28/2023,Shield of Hope,,west
7/28/2023,Social Club,1179,loop
7/28/2023,Super 8 Motel,243,north
7/28/2023,Wadsworth,581,south
7/28/2023,Walnut,,west
7/28/2023,West Lake,,west
7/28/2023,Wright,392,north
7/28/2023,YWLA,248,south
8/4/2023,American Islamic College,556,north
8/4/2023,Brands Park,151,north
8/4/2023,Broadway Armory,267,north
8/4/2023,Casa Esperanza,,west
8/4/2023,Daley College,256,south
8/4/2023,Elston,,west
8/4/2023,Gage Park,282,south
8/4/2023,Halsted,,south
8/4/2023,Harold Washington Library,,loop
8/4/2023,High Ridge YMCA,153,north
8/4/2023,Inn of Chicago,1509,loop
8/4/2023,Lakeshore Hotel,,south
8/4/2023,Leone Beach,100,north
8/4/2023,Little Village - Pulaski CVS,,west
8/4/2023,MWRD,,north
8/4/2023,Near South Health Center,126,south
8/4/2023,New Life Church,,north
8/4/2023,North Park Village,178,north
8/4/2023,North Western,,west
8/4/2023,Ogden,,west
8/4/2023,Parthenon,,west
8/4/2023,Piotrowski Park,198,west
8/4/2023,Shield of Hope,,west
8/4/2023,Social Club,1185,loop
8/4/2023,Super 8 Motel,258,north
8/4/2023,Wadsworth,586,south
8/4/2023,Walnut,,west
8/4/2023,West Lake,,west
8/4/2023,Wright,,north
8/4/2023,YWLA,249,south
8/11/2023,American Islamic College,610,north
8/11/2023,Brands Park,152,north
8/11/2023,Broadway Armory,269,north
8/11/2023,Casa Esperanza,,west
8/11/2023,Daley College,254,south
8/11/2023,Elston,,west
8/11/2023,Gage Park,294,south
8/11/2023,Halsted,,south
8/11/2023,Harold Washington Library,,loop
8/11/2023,High Ridge YMCA,160,north
8/11/2023,Inn of Chicago,1503,loop
8/11/2023,Lakeshore Hotel,,south
8/11/2023,Leone Beach,96,north
8/11/2023,Little Village - Pulaski CVS,,west
8/11/2023,MWRD,,north
8/11/2023,Near South Health Center,125,south
8/11/2023,New Life Church,,north
8/11/2023,North Park Village,174,north
8/11/2023,North Western,,west
8/11/2023,Ogden,,west
8/11/2023,Parthenon,,west
8/11/2023,Piotrowski Park,198,west
8/11/2023,Shield of Hope,,west
8/11/2023,Social Club,1182,loop
8/11/2023,Super 8 Motel,276,north
8/11/2023,Wadsworth,595,south
8/11/2023,Walnut,,west
8/11/2023,West Lake,,west
8/11/2023,Wright,,north
8/11/2023,YWLA,240,south
8/18/2023,American Islamic College,783,north
8/18/2023,Brands Park,150,north
8/18/2023,Broadway Armory,343,north
8/18/2023,Casa Esperanza,,west
8/18/2023,Daley College,255,south
8/18/2023,Elston,,west
8/18/2023,Gage Park,302,south
8/18/2023,Halsted,,south
8/18/2023,Harold Washington Library,,loop
8/18/2023,High Ridge YMCA,156,north
8/18/2023,Inn of Chicago,1469,loop
8/18/2023,Lakeshore Hotel,,south
8/18/2023,Leone Beach,101,north
8/18/2023,Little Village - Pulaski CVS,,west
8/18/2023,MWRD,,north
8/18/2023,Near South Health Center,155,south
8/18/2023,New Life Church,,north
8/18/2023,North Park Village,179,north
8/18/2023,North Western,,west
8/18/2023,Ogden,,west
8/18/2023,Parthenon,,west
8/18/2023,Piotrowski Park,195,west
8/18/2023,Shield of Hope,,west
8/18/2023,Social Club,1190,loop
8/18/2023,Super 8 Motel,279,north
8/18/2023,Wadsworth,593,south
8/18/2023,Walnut,,west
8/18/2023,West Lake,,west
8/18/2023,Wright,,north
8/18/2023,YWLA,210,south
8/25/2023,American Islamic College,798,north
8/25/2023,Brands Park,150,north
8/25/2023,Broadway Armory,347,north
8/25/2023,Casa Esperanza,,west
8/25/2023,Daley College,256,south
8/25/2023,Elston,,west
8/25/2023,Gage Park,313,south
8/25/2023,Halsted,,south
