committee_name,simple_lean
REPUBLICAN VOTERS AGAINST TRUMP INC,R
DURBIN VICTORY FUND,D
"DEMOCRATIC VICTORY PAC, INC.",D
CHRISTINA BOHANNAN FOR CONGRESS,D
POLICE AND TROOPER SUPPORT PAC,D
JESSICA CISNEROS FOR CONGRESS,D
BENNET FOR COLORADO,D
RESIST THIS PAC,D
ELIZABETH KIM FOR CONGRESS,D
FRIENDS OF LUCY MCBATH,D
"DEMOCRATIC MAJORITY, INC",D
NINA TURNER FOR US,D
MIKIE SHERRILL FOR CONGRESS,D
"KUSTER FOR CONGRESS, INC",D
HOLLAND FOR KANSAS,D
JOSH FOR VIRGINIA,D
PRAIRIE POLITICAL ACTION COMMITTEE,D
DUCKWORTH VICTORY FUND,D
BOOT TEXAS REPUBLICANS,D
JESSICA MCCLURE FOR CONGRESS,D
CARRICK FLYNN FOR OREGON,D
PATRICK SCHMIDT FOR KANSAS,D
KANSANS FOR MARSHALL,R
BERNIE 2020,D
FRIENDS OF TABITHA ISNER,D
WIN THE ERA PAC,R
KENNEDY FOR MASSACHUSETTS,D
MONDAIRE FOR CONGRESS,D
HOYER FOR CONGRESS,D
HICKENLOOPER 2020,D
NICK COLVIN FOR CONGRESS,D
COMMITTEE TO ELECT JARED GOLDEN,D
CONOR LAMB FOR CONGRESS,D
KAHELE FOR CONGRESS,D
LEAGUE OF CONSERVATION VOTERS ACTION FUND,D
FRIENDS OF SHERROD BROWN,D
AMERIPAC: THE FUND FOR A GREATER AMERICA,D
LISA MURKOWSKI FOR US SENATE,R
DONNELLY FOR INDIANA,D
TIM RYAN FOR OHIO,D
KIND FOR CONGRESS COMMITTEE,D
COLORADO DEMOCRATIC PARTY,D
JAIME HARRISON FOR US SENATE,D
"AMY MCGRATH FOR SENATE, INC.",D
BILL NELSON FOR US SENATE,D
"WARREN DEMOCRATS, INC.",D
SUSIE LEE FOR CONGRESS,D
ELIZABETH PANNILL FLETCHER FOR CONGRESS,D
TOM MALINOWSKI FOR CONGRESS,D
DOUG JONES FOR SENATE COMMITTEE,D
MCCREADY FOR CONGRESS,D
KELLY MAZESKI FOR CONGRESS,D
IAN TODD FOR CONGRESS,D
SUSAN WILD FOR CONGRESS,D
KEN HARBAUGH FOR CONGRESS,D
CINDY AXNE FOR CONGRESS,D
MAURA SULLIVAN FOR CONGRESS,D
WILLIAMS FOR MONTANA,D
FRIENDS OF LUCY MCBATH INC.,D
DONNA SHALALA FOR CONGRESS,D
RANDY BRYCE FOR CONGRESS,D
ANDY KIM FOR CONGRESS,D
ALEXANDRIA OCASIO-CORTEZ FOR CONGRESS,D
MAC SCHNEIDER FOR NORTH DAKOTA,D
BETSY DIRKSEN LONDRIGAN FOR CONGRESS,D
BRENDAN KELLY FOR SOUTHERN ILLINOIS,D
EASTMAN FOR CONGRESS,D
CAROLE CHENEY FOR CONGRESS,D
SPANBERGER FOR CONGRESS,D
ELISSA SLOTKIN FOR CONGRESS,D
AARON SCHEINBERG FOR CONGRESS,D
KATIE HILL FOR CONGRESS,D
MIKE LEVIN FOR CONGRESS,D
NEILL FOR ILLINOIS,D
KIRKPATRICK FOR CONGRESS,D
MIKE ESPY FOR SENATE CAMPAIGN COMMITTEE,D
OUR REVOLUTION PAC,D
LIZ FOR INDIANA,D
BREDESEN FOR SENATE,D
TINA SMITH FOR MINNESOTA,D
KATIE PORTER FOR CONGRESS,D
COMMITTEE TO ELECT MORGAN FOR MICHIGAN,D
DEBBIE FOR CONGRESS,D
GINA ORTIZ JONES FOR CONGRESS,D
LAUREN BAER FOR CONGRESS,D
TINA SMITH VICTORY,D
ELAINE FOR CONGRESS,D
FINKENAUER FOR CONGRESS,D
ANTOINETTE SEDILLO LOPEZ FOR CONGRESS,D
JASON CROW FOR CONGRESS,D
PAUL DAVIS FOR KANSAS,D
INDIVISIBLE ACTION,D
BLUE IL 18,D
FRIENDS OF RANDY WADKINS,D
BETSY RADER FOR CONGRESS,D
MCSALLY FOR SENATE INC,R
HALEY STEVENS FOR CONGRESS,D
LISA BROWN FOR CONGRESS,D
COMMITTEE TO ELECT DAN KOH,D
"FRIENDS OF DENVER RIGGLEMAN, INC.",R
JOSH HARDER FOR CONGRESS,D
BATESON FOR CONGRESS,D
ED MEIER FOR CONGRESS,D
HOYOS FOR CONGRESS,D
KIER FOR CONGRESS,R
AFTAB FOR OHIO,D
SINEMA FOR ARIZONA,D
PETE AGUILAR FOR CONGRESS,D
MY RIDE TO VOTE,D
DONNELLY VICTORY FUND,D
QUIGLEY FOR CONGRESS,D
ROB QUIST FOR MONTANA,D
THE COMMITTEE TO DEFEND THE PRESIDENT,R
VOTESANE PAC,R
PRAMILA FOR CONGRESS,D
GILLIBRAND FOR SENATE,D
SCHNEIDER FOR CONGRESS,D
BOB CASEY FOR SENATE INC,D
NRSC,R
PLANNED PARENTHOOD VOTES,D
CORI BUSH FOR CONGRESS,D
GEORGIA FEDERAL ELECTIONS COMMITTEE,D
WARNOCK VICTORY FUND,D
MANDELA BARNES VICTORY FUND,D
CORTEZ MASTO VICTORY 2022,D
BLUMENTHAL VICTORY FUND,D
"JOHN JAMES FOR CONGRESS, INC.",R
TITUS FOR CONGRESS,D
TEAM JOSH,R
PORTIA ROBERSON FOR CONGRESS,D
DUCKWORTH ILLINOIS VICTORY FUND,D
ADAM FOR COLORADO,D
MANDELA BARNES FOR WISCONSIN,D
UNDERWOOD BARNES VICTORY FUND,D
MARY PELTOLA FOR ALASKA,D
TOM O'HALLERAN FOR CONGRESS,D
DEMOCRATIC PARTY OF ILLINOIS,D
PAT RYAN FOR CONGRESS,D
BOWMAN FOR CONGRESS,D
BOLD MAJORITY PAC,D
PFAFF FOR CONGRESS,D
314 ACTION FUND,D
PEOPLE FIRST FUTURE,D
CORY 2020,D
OFF THE SIDELINES PAC,D
WESTON 2020,D
COMMITTEE TO ELECT SABRINA HAAKE,D
