Course Code,Instructor,Enrolled,Responses,Avg Hours,Sentiment Score
SOSC 12400,(s),18,8,7.5,0.124
SOSC 16100,(s) Salih Noor,17,12,8.86,0.163
SOSC 14300,(s)  Lydia Emery,19,8,3.21,0.224
SOSC 11600,(s)  Joy Wang,13,7,9.5,0.146
SOSC 11500,(s) Phillip Henry,19,7,8.33,0.212
SOSC 12500,(s),19,11,6.59,0.239
SOSC 14200,(s) Wilma Bainbridge,19,15,2.92,0.275
SOSC 11500,(s) Ryan Allen,10,6,13.33,0.185
SOSC 12600,(s),13,7,6.79,0.269
SOSC 11500,(s) Pamela Nogales,16,5,12.5,0.171
SOSC 17300,(s)  Richard Zaleski,18,7,5.36,0.157
SOSC 17200,(s) Carolina LopezRuiz,18,5,6.25,0.19
SOSC 13200,(s),18,8,6.07,0.228
SOSC 12400,(s),18,9,5.83,0.24
SOSC 14200,(s) Brian Prendergast,19,11,3.0,0.261
SOSC 11400,(s) Corbin Page,18,10,7.0,0.234
SOSC 12400,(s),15,14,6.43,0.189
SOSC 12400,(s),18,9,6.88,0.201
SOSC 12500,(s),19,12,7.08,0.191
SOSC 14300,(s)  Ryan Lange,18,10,5.0,0.198
SOSC 14200,(s) Kerry Le Doux,20,11,10.0,0.178
SOSC 14100,(s) Chi Dat Lam,19,13,4.17,0.235
SOSC 12600,(s),19,15,8.33,0.24
SOSC 15200,(s) William Levine,19,11,7.05,0.226
SOSC 15100,(s) Sarah Johnson,19,10,6.94,0.237
SOSC 12600,(s),19,12,9.5,0.189
SOSC 18400,(s) John,19,9,6.88,0.222
SOSC 17200,(s) Alireza Doostdar,19,8,5.0,0.27
SOSC 14300,(s)  Susan Cohen,19,5,5.5,0.279
SOSC 15300,(s)  Florian Grosser,9,4,8.75,0.204
SOSC 12400,(s),16,10,6.79,0.225
SOSC 12600,(s),19,8,8.21,0.232
SOSC 18400,(s) Giovanni,18,14,8.5,0.212
SOSC 15200,(s) Julia Brown,8,8,6.25,0.239
SOSC 12600,(s),17,11,8.41,0.229
SOSC 16100,(s) Hannah,19,11,4.0,0.181
SOSC 12400,(s),18,11,8.75,0.185
SOSC 12500,(s),19,12,8.33,0.204
SOSC 14100,(s) Duygu UygunTunc,19,12,4.0,0.246
SOSC 12500,(s),19,11,7.05,0.225
SOSC 12400,(s),18,12,8.41,0.194
SOSC 12500,(s),15,7,5.83,0.122
SOSC 11600,(s)  Jennifer Spruill,19,6,13.5,0.201
SOSC 16100,(s) Hannah,19,10,4.72,0.186
SOSC 12400,(s),18,8,9.64,0.176
SOSC 12600,(s),19,13,6.73,0.216
SOSC 11400,(s),17,11,7.5,0.164
SOSC 12400,(s),15,9,6.07,0.257
SOSC 12400,(s),16,16,5.36,0.23
SOSC 14100,(s) Akram Bakkour,19,8,6.79,0.25
SOSC 13200,(s),19,9,3.75,0.237
SOSC 11400,(s) Pamela Nogales,16,8,11.79,0.147
SOSC 17300,(s)  Doren Snoek,20,13,6.25,0.205
SOSC 14300,(s)  Alessandra,19,13,5.68,0.267
SOSC 14200,(s) Duygu UygunTunc,18,9,4.64,0.141
SOSC 11600,(s)  Omar McRoberts,13,5,8.5,0.214
SOSC 12600,(s),17,8,8.21,0.198
SOSC 16300,(s)  Salih,15,5,16.25,0.096
SOSC 14200,(s) Alessandra Lembo,19,11,5.0,0.243
SOSC 15300,(s)  Julia Brown,19,16,5.58,0.182
SOSC 11500,(s) Nicole Whalen,14,8,11.88,0.18
SOSC 17200,(s) Olivia Bustion,19,10,8.0,0.183
SOSC 17200,(s) Ryan Coyne,20,13,7.08,0.171
SOSC 18500,(s) James,19,11,10.23,0.182
SOSC 12600,(s),12,8,5.0,0.258
SOSC 13100,(s),19,14,3.75,0.242
SOSC 12600,(s),18,15,7.5,0.17
