Course Code,Instructor,Enrolled,Responses,Avg Hours,Sentiment Score
HIST 13900,(s) Yaroslav Gorbachov,18,10,8.0,0.169
GNSE 15002,(s) Red Tremmel,19,6,8.33,0.252
SOSC 24901,(s) Mark Bradley,17,11,2.5,0.221
HIST 13002,(s)  Tristan Sharp,16,6,7.5,0.163
HIST 18301,(s) Mannat Johal,19,8,3.75,0.166
GNSE 15003,(s) C. Snorton,19,8,6.07,0.295
HIST 18301,(s) Katie Hickerson,21,7,7.5,0.216
NEHC 20603,(s)  Tobias,13,11,6.59,0.2
GNSE 15002,(s) Stephanie Painter,18,13,6.73,0.213
HIST 10101,(s) Ayodeji,18,6,7.5,0.206
HIST 10103,(s)  Samuel Daly,16,4,3.75,0.256
HIST 13700,(s),17,5,5.0,0.207
HIST 13001,(s) Tristan Sharp,17,8,7.5,0.179
SALC 20702,(s)  Mannat,19,13,7.92,0.232
HIST 13002,(s)  Roy Kimmey III,18,6,5.83,0.242
GNSE 15003,(s) Leah M. Feldman,18,7,5.36,0.189
HIST 16900,(s),23,7,3.5,0.16
SALC 20200,(s)  Rochona Majumdar,35,15,8.5,0.269
SOSC 24900,(s) Savitri Kunze,19,12,6.67,0.133
GNSE 15003,(s) Kris Trujillo,19,6,5.0,0.17
HIST 11701,(s) Larisa Reznik,26,13,N/A,0.214
HIST 13001,(s) Tristan Sharp,16,5,9.5,0.184
SOSC 26100,(s) Emilio Kouri,78,44,15.0,0.178
JWSC 12001,(s)  Larisa Reznik,26,10,8.75,0.192
HIST 18301,(s) Katie Hickerson,17,5,8.75,0.211
GNSE 15002,(s) Sarah McDaniel,19,14,3.75,0.323
