Course Code,Instructor,Enrolled,Responses,Avg Hours,Sentiment Score
HUMA 11100,(s) Geoffrey Rees,12,10,5.83,0.183
HUMA 12300,(s),18,13,4.81,0.219
HUMA 18000,(s),18,10,8.5,0.235
HUMA 16000,(s) Rebeca Velasquez,19,10,8.0,0.197
HUMA 11500,(s),18,17,6.62,0.185
HUMA 14100,(s) Joseph Stadolnik,18,12,7.5,0.255
HUMA 18100,(s),19,10,9.17,0.259
HUMA 18100,(s),19,11,4.32,0.204
HUMA 16100,(s) Leland Jasperse,19,12,6.67,0.16
HUMA 17000,(s),19,4,10.83,0.219
HUMA 12050,(s) Robert Marineau,15,12,9.58,0.194
HUMA 16100,(s) Gabriel Ellis,19,10,6.0,0.301
HUMA 11100,(s) Miguel Martinez,11,7,6.79,0.262
HUMA 11500,(s),19,14,5.36,0.217
HUMA 16100,(s) Yueling Ji,19,11,5.0,0.258
HUMA 11600,(s),19,10,7.5,0.225
HUMA 12150,(s) Pauline Goul,15,10,5.28,0.203
HUMA 18000,(s),16,13,5.42,0.241
HUMA 14000,(s) Valerie Levan,17,11,7.05,0.209
HUMA 16000,(s) Gabriel Ellis,19,11,8.33,0.263
HUMA 11100,(s) Hoyt Long,18,11,6.14,0.186
HUMA 14100,(s) Emily Coit,16,11,7.0,0.232
HUMA 14000,(s) Eduardo Leão,17,11,7.5,0.232
HUMA 12500,(s),15,10,6.5,0.24
HUMA 17000,(s),19,15,3.17,0.236
HUMA 11600,(s) Melina Garibovic,20,14,6.43,0.176
HUMA 12400,(s),16,16,9.69,0.257
HUMA 16000,(s) Yueling Ji,19,12,3.75,0.254
HUMA 12050,(s) Stephen Haswell Todd,13,9,6.94,0.223
HUMA 12300,(s),18,9,4.72,0.211
HUMA 14100,(s) Martha T Roth,19,10,4.17,0.278
HUMA 12400,(s),18,15,5.83,0.226
HUMA 14000,(s) Martha T Roth,18,9,7.5,0.177
HUMA 12050,(s) Ermioni Prokopaki,14,6,5.83,0.217
HUMA 11000,(s) Supurna Dasgupta,12,11,12.0,0.206
HUMA 11000,(s) Doren Snoek,10,8,8.5,0.214
HUMA 18000,(s),18,13,7.12,0.209
HUMA 16000,(s) Julie Orlemanski,19,12,5.42,0.23
HUMA 17000,(s),19,15,4.83,0.235
HUMA 16000,(s) Haitham Ibrahim,19,16,8.5,0.186
HUMA 16100,(s) David Mettens,18,16,6.56,0.159
HUMA 14000,(s) Joseph Stadolnik,15,8,6.88,0.215
HUMA 12300,(s),19,7,10.0,0.188
HUMA 12300,(s),18,13,5.58,0.195
HUMA 18200,(s),8,4,3.75,0.238
HUMA 12500,(s),7,5,4.5,0.231
HUMA 12150,(s) Lee Hoffer,11,7,5.36,0.229
HUMA 11500,(s),19,10,6.5,0.234
HUMA 16200,(s)  Haitham Ibrahim,18,11,4.0,0.228
HUMA 11000,(s) Adam Flowers,11,7,5.5,0.178
HUMA 11100,(s) Malynne Sternstein,18,11,7.5,0.253
HUMA 11500,(s),18,11,7.5,0.197
HUMA 18000,(s),19,10,4.5,0.188
HUMA 12400,(s),17,9,4.72,0.258
HUMA 11200,(s)  Armando Maggi,8,5,7.5,0.142
HUMA 12300,(s),19,9,7.5,0.231
HUMA 17100,(s),19,9,5.83,0.227
HUMA 16100,(s) Haitham Ibrahim,19,13,6.59,0.277
HUMA 17100,(s),17,8,5.62,0.184
HUMA 14100,(s) Ariel Fox,13,7,8.21,0.198
HUMA 11600,(s) Magnus Ferguson,19,14,7.14,0.2
HUMA 14100,(s) Paola Iovene,14,7,6.07,0.189
HUMA 12300,(s),17,8,7.5,0.249
HUMA 11100,(s) Maria Anna Mariani,11,7,5.0,0.201
HUMA 17000,(s),19,8,5.36,0.202
HUMA 16000,(s) Leland Jasperse,19,14,6.79,0.2
HUMA 16200,(s)  Gabriel Ellis,16,7,7.5,0.219
HUMA 18000,(s),18,13,N/A,0.245
HUMA 16100,(s) MeeJu Ro,19,4,7.5,0.198
HUMA 14000,(s) Megan Tusler,13,5,6.5,0.172
HUMA 11500,(s),18,9,5.28,0.182
HUMA 11600,(s),17,11,5.68,0.166
HUMA 12400,(s),18,10,5.83,0.235
HUMA 11500,(s),19,13,12.5,0.216
HUMA 17100,(s),18,9,4.38,0.191
HUMA 11000,(s) Geoffrey Rees,10,7,10.0,0.126
HUMA 12050,(s) Simon Friedland,11,9,6.94,0.178
HUMA 16000,(s) Elisabeth Wilhelm,19,14,6.07,0.212
HUMA 12150,(s) Stephen Haswell Todd,18,9,6.39,0.278
HUMA 14100,(s) Valerie Levan,16,10,6.94,0.264
HUMA 16100,(s) Gabriel Ellis,18,10,6.0,0.206
HUMA 12400,(s),19,15,8.17,0.16
HUMA 12300,(s),19,12,6.25,0.211
HUMA 16100,(s) Haitham Ibrahim,19,15,17.5,0.255
HUMA 11700,(s)  Magnus Ferguson,8,5,8.5,0.195
HUMA 12150,(s) Ermioni Prokopaki,11,8,5.36,0.253
HUMA 17000,(s),18,7,3.21,0.134
HUMA 12400,(s),19,10,5.0,0.195
HUMA 17000,(s),18,10,6.0,0.188
HUMA 11500,(s),19,19,8.29,0.173
HUMA 12300,(s),19,15,6.83,0.245
HUMA 16000,(s) HsinYuan Peng,19,16,9.17,0.168
HUMA 12300,(s),18,16,8.5,0.228
HUMA 11100,(s) Adam Flowers,12,4,3.75,0.21
HUMA 12300,(s),16,7,6.67,0.195
HUMA 14100,(s) Valerie Levan,19,13,5.96,0.237
HUMA 12300,(s),18,13,7.12,0.257
HUMA 14000,(s) Martha T Roth,17,10,8.61,0.275
HUMA 18100,(s),16,6,5.0,0.246
HUMA 12500,(s),17,12,4.5,0.255
HUMA 18100,(s),19,9,5.28,0.232
HUMA 12050,(s) Emily Austin,12,7,8.21,0.256
HUMA 11600,(s),18,12,4.32,0.186
HUMA 12150,(s) David Wray,14,8,5.0,0.14
HUMA 12150,(s) Lokchun Law,14,7,6.67,0.219
HUMA 18000,(s),19,12,8.33,0.22
