owner_name,land_value_estimate,land_value_million
University of Chicago,388338011.16229427,388.34
DePaul University,189949485.27273643,189.95
Loyola University,248058336.80687514,248.06
Northwestern University,580093777.3505523,580.09
University of Illinois,570539590.9275622,570.54
