owner_name,land_value_estimate,land_value_million
University of Chicago,388338011.16229427,388.34
DePaul University,189949485.27273643,189.95
Loyola University,188866201.77360132,188.87
Northwestern University,168372365.67602104,168.37
University of Illinois,568933676.6128998,568.93
